REFERENCIA,EQUIPAMENTOS,MATERIAL EM CARGA,QUANT MATERIAL REPOSTO,CONDIÇÕES EQUIPAMENTO
401001,MACA REMOÇÃO (PLUMA),1,,
401002,MẠCA VACUO ( COQUILLE),1,,
401010,COLETE EXTRAÇÃO,1,,
401011,CADEIRA TRANSPORTE,1,,
41008,PLANO DURO PEDIATRICO,1,,
41009,TALA TRAÇÃO,1,,
41004,PLANO DURO ADULTO,1,,
,,,,
,ARMARIO IMOBILIZAÇÃO,,,
,,,,
41005,MOBILIZADORES CABEÇA,,,
41006,CINTOS (ARANHA),,,
41007,CINTOS CABEÇA (CABRESTOS),,,
,,,,
,SACO TRAUMA,,,
,,,,
403002,COMPRESSAS10X10 (8X5UN.),40,,
403003,COMPRESSAS 20X10,40,,
403005,PENSOS ABSORVENTES,5,,
402004,SORO FISIOLOGICO ATE 30ML,5,,
402005,SORO FISIOLOGICO 60ML,4,,
402006,SORO FISIOLOGICO 100ML,2,,
402002,DESINFETANTE ATE 30ML,4,,
404026,ROLOS FITA ADESIVA,2,,
403006,ROLOS LIGADURAS 10 CM,10,,
401028,PARES OCULOS,2,,
404010,SACO GELO,1,,
404007,SACO CALOR,1,,
401037,TESOURA,1,,
404019,MANTA ISOTERMICA PRATA/ DOURADO,1,,
,,,,
,ARMARIO GAVETA  AZUL,,,
,,,,
405001,MASCARAS SIMPLES 02 ADULTO,2,,
405002,MASCARAS ALTO DEBITO 02 ADULTO,2,,
405003,CANULAS 02 ADULTO,2,,
,,,,
,ARMARIO GAVETA VERDE,,,
,,,,
403002,COMPRESSAS 10X10 (8X5UN.),40,,
403003,COMPRESSAS 20X10,20,,
403005,PENSOS ABSORVENTES,5,,
104026,ROLOS FITA ADESIVA,2,,
403006,ROLOS LIGADURAS 10 CM,5,,
402006,SOROS FISIOLOGICO 100 ML,2,,
404010,SACO GELO,1,,
404007,SACO CALOR,1,,
401051,TINA TIPO RIM,1,,
404004,PARES LUVAS ESTERILIZADAS,2,,
401037,TESOURA,1,,
,,,,
,ARMARIO GAVETA AMARELA,,,
,,,,
405004,MASCARAS SIMPLES 02 PEDIATRICO,1,,
405005,MASCARA ALTO DEBITO 02 PEDIATRICO,1,,
405006,CANULA NASAL PEDIATRICO,1,,
,,,,
,ARMARIO QUEIMADOS,,,
,,,,
403008,LENÇOL QUEIMADOS,1,,
402007,SOROS FISIOLOGICO 500 ML,4,,
403004,COMPRESSAS 20X15 (8 EMB X 5 UN),40,,
,,,,
,PRATELEIRAS COLARES CERVICAIS,,,
,,,,
401056,COLARES CERVICAIS ADULTO (3 TAM. DIFERENTES),1,,
401057,COLARES CERVICAIS PEDIATRICOS (3 TAM. DIFERENTES),1,,
,,,,
,TALAS,,,
,,,,
401018,TALAS 50 CM,2,,
401017,TALAS 70 CM,2,,
401016,TALAS 90 CM,2,,
401014,TALAS 1.20 CM,2,,
,,,,
,SONDAS ASPIRAÇÃO,,,
,,,,
404017,SONDA ASPIRAÇÃO ADULTO CH 16,1,,
404016,SONDA ASPIRAÇÃO ADULTO CH 14,1,,
404012,SONDA ASPIRAÇÃO PEDIATRICA CH 6,1,,
404013,SONDA ASPIRAÇÃO PEDIATRICA CH 8,1,,
,,,,
,SONDAS NASAIS,,,
,,,,
405008,SONDA NASAL ADULTO CH 14,1,,
405009,SONDA NASAL ADULTO CH 16,1,,
405010,SONDA NASAL PEDIATRICA CH 6,1,,
405011,SONDA NASAL PEDIATRICA CH 8,1,,
,,,,
,ARMARIO LATERAL SUPERIOR DIREITO,,,
,,,,
404009,SACOS VOMITO,5,,
404021,KIT PARTO,1,,
,,,,
,CELULA SANITARIA,,,
,,,,
405032,"CIRCUITO FIXO 02,CAPACIDADE MINIMA 2000ML REDUTOR DEBITOMETRO
 PELO MENOS 15L/M VALVULA REGULAÇÃO DEBITO B-20L",2,,
,TOMADA RAPIDA SUPELMENTAR,1,,
405029,"02 PORTATIL CAPACIDADE MINIMA 400ML, REDUTOR, DEBITOMETRO 
PELO MENOS 15L/M VALVULA REGULAÇÃO DEBITO B-2L",1,,
404049,"ASPIRADOR SECREÇÕES ELETRICO PORTATIL COM 
PRESSÃO ASPIRAÇÃO REGULAVEL, COM ACUMULADOR ENERGIA",1,,
404006,TUBO SECREÇÕES,1,,
404005,SACO ASPIRADOR,1,,
405030,BALA OXIGENIO B 5L,1,,
,,,,
,BALA OXIGENIO 7L,,,
,,,,
,SUPORTES SOROS,2,,
401013,DAE (SÓ NAS AMBULANCIAS DO PNDAE DO INEM ),1,,
404002,CAIXA LUVAS NÃO ESTERILIZADAS,1,,
404025,CONTENTOR CORTANTES,1,,
,APOIO CABEÇA,1,,
,SUPORTE PORTATIL SORO,1,,
,,,,
,ARMARIO LATERAL INFERIOR DIREITO,,,
,,,,
401033,ARRASTADEIRA (APARADEIRA),1,,
401034,URINOL,1,,
404020,SACO CADAVER,1,,
,LAVATÓRIO (AGUAS SUJAS E LIMPAS ),,,
,CAIXOTE LIXO,,,
401012,MACA TRANSFÉRENCIA (LONA),1,,
,,,,
,ARMARIO CENTRAL SUPERIOR ESQUERDO,,,
,,,,
404008,MANTA ISOTERMICA,1,,
403007,LENÇOIS DESCARTAVEIS (MÍNIMO),10,,
,,,,
,PROTEÇÃO SANITARIA ,,,
,,,,
401036,LUVAS PROTEÇÃO (TRABALHO ) PARES,2,,
401035,CAPACETES,10,,
